name,id,link,stueckelung,coupon,anzahlZinstermine,land,faelligkeit,kurs,boerse,letzterZinstermin,kaufpreis,couponRendite
Sanofi S.A.,FR0000047656,https://www.finanzen.net/anleihen/a0tje0-sanofi-anleihe,152.45,15.973,1,Frankreich,-,546.25,BNP Zuerich,01-09-2023,846.568053,0.028764
William John (HV) PLC,GB00BP6MJB84,https://www.finanzen.net/anleihen/a3k8tz-william-john-hv-anleihe,1000,14,4,GB,28-02-2025,102,Frankfurt,01-01-2024,1052.602740,0.133004
Ziton A/S,NO0012928185,https://www.finanzen.net/anleihen/a3lje8-ziton-a-s-anleihe,1,13.429,4,Dänemark,09-06-2028,102.76,Stuttgart,11-03-2024,1.033119,0.129985
LifeFit Group MidCo GmbH,NO0010856966,https://www.finanzen.net/anleihen/a2ynra-lifefit-group-midco-anleihe,1000,13.422,4,Deutschland,26-01-2025,99.6,Quotrix,08-01-2024,1024.682630,0.130987
Permanent TSB Group Holdings PLC,XS2538798583,https://www.finanzen.net/anleihen/a3larp-permanent-tsb-group-holdings-anleihe,1000,13.25,2,Irland,-,114.64,Lang & Schwarz,26-09-2023,1212.468493,0.109281
Eleving Group,DE000A3LL7M4,https://www.finanzen.net/anleihen/a3ll7m-eleving-group-anleihe,100,13,4,Luxemburg,31-10-2028,101,Quotrix,30-01-2024,102.994521,0.126220
Multitude SE,NO0011037327,https://www.finanzen.net/anleihen/a3ktc6-multitude-se-anleihe,1000,12.875,4,Finnland,-,93.93,München,01-03-2024,948.118493,0.135795
CSM Securities S.à r.l. acting in Respect of Fiduciary Estate 1,XS2213948529,https://www.finanzen.net/anleihen/a2800k-csm-securities-sa-rl-acting-in-respect-of-fiduciary-estate-1-anleihe,1000,12.5,2,Luxemburg,20-08-2025,99,Frankfurt,20-02-2024,1001.986301,0.124752
Calligo (UK) Ltd.,NO0011179806,https://www.finanzen.net/anleihen/a3k0j3-calligo-uk-anleihe,1,12.425,4,GB,29-12-2028,60,Frankfurt,29-11-2023,0.640168,0.194090
Mutares SE & Co. KGaA,NO0012530965,https://www.finanzen.net/anleihen/a30v9t-mutares-se-kgaa-anleihe,1000,12.425,4,Deutschland,31-03-2027,104.74,Lang & Schwarz,30-11-2023,1087.228082,0.114281
Secop Group Holding GmbH,NO0012923194,https://www.finanzen.net/anleihen/a351sk-secop-group-holding-anleihe,1000,12.325,4,Deutschland,29-12-2026,101.5,Quotrix,29-11-2023,1054.845205,0.116842
PARQ energy GmbH,DE000A3510D6,https://www.finanzen.net/anleihen/a3510d-parq-energy-anleihe,1000,12,2,Deutschland,01-10-2028,101.5,Frankfurt,01-09-2023,1083.054795,0.110798
Pardus Capital Holdings PLC,GB00BMVB6072,https://www.finanzen.net/anleihen/a28y6c-pardus-capital-holdings-anleihe,1,12,4,GB,30-09-2024,99,Frankfurt,30-11-2023,1.028466,0.116679
Schletter International B.V.,NO0012530981,https://www.finanzen.net/anleihen/a3k86d-schletter-international-bv-anleihe,1,12,4,Niederlande,12-03-2026,103.5,Frankfurt,12-03-2024,1.039603,0.115429
Preem Holdings AB,XS2493887264,https://www.finanzen.net/anleihen/a3k6y5-preem-holdings-ab-anleihe,1000,12,2,Schweden,30-06-2027,105.62,Frankfurt,30-11-2023,1094.665753,0.109623
Alpha Services and Holdings S.A.,XS2583633966,https://www.finanzen.net/anleihen/a3ldxb-alpha-services-and-holdings-anleihe,1000,11.875,2,Griechenland,-,108.9,Quotrix,08-02-2024,1104.291096,0.107535
Bank of Cyprus Holdings PLC,XS2638438510,https://www.finanzen.net/anleihen/a3lj8q-bank-of-cyprus-holdings-anleihe,1000,11.875,2,Irland,-,109.4,München,21-11-2023,1134.993151,0.104626
BDT Media Automation GmbH,DE000A351YN0,https://www.finanzen.net/anleihen/a351yn-bdt-media-automation-anleihe,1000,11.5,2,Deutschland,30-11-2028,99.55,München,31-10-2023,1041.815068,0.110384
SGL International A/S,NO0012441007,https://www.finanzen.net/anleihen/a3k3d0-sgl-international-a-s-anleihe,1,11.5,4,Dänemark,06-09-2025,100.11,Frankfurt,06-03-2024,1.007401,0.114155
LR Health & Beauty SE,NO0013149658,https://www.finanzen.net/anleihen/a3513a-lr-health-beauty-se-anleihe,1000,11.432,4,Deutschland,06-03-2028,93.6,Stuttgart,02-03-2024,943.516932,0.121164
Amber Beverage Group Holding S.à r.l,LV0000870137,https://www.finanzen.net/anleihen/a3le0t-amber-beverage-group-holding-sa-rl-anleihe,1000,11.431,4,Luxemburg,31-03-2027,101,Frankfurt,30-11-2023,1046.641836,0.109216
PHM Group Holding Oy,FI4000541685,https://www.finanzen.net/anleihen/a3lb6c-phm-group-holding-oy-anleihe,1000,11.428,4,Finnland,19-06-2026,102.69,Lang & Schwarz,19-03-2024,1029.091671,0.111049
Multitude SE,NO0012702549,https://www.finanzen.net/anleihen/a3lbt7-multitude-se-anleihe,1000,11.425,4,Finnland,22-12-2025,101,Quotrix,21-03-2024,1011.565068,0.112944
De Volksbank N.V.,XS0468954523,https://www.finanzen.net/anleihen/a1aqe5-de-volksbank-anleihe,1000,11.25,1,Niederlande,-,55.29,Amsterdam,27-10-2023,599.441096,0.187675
4Finance S.A.,XS1417876163,https://www.finanzen.net/anleihen/a181zp-4finance-anleihe,1000,11.25,4,Luxemburg,23-05-2028,80.2,Baader Bank,23-02-2024,811.863014,0.138570
LR Global Holding GmbH,NO0010894850,https://www.finanzen.net/anleihen/a3h3fm-lr-global-holding-anleihe,1000,11.202,4,Deutschland,03-02-2025,95.01,Lang & Schwarz,26-02-2024,959.000219,0.116809
Gaming Innovation Group PLC,NO0013024018,https://www.finanzen.net/anleihen/a3lq87-gaming-innovation-group-anleihe,2500,11.178,4,Malta,18-12-2026,98.25,Quotrix,18-03-2024,2462.374932,0.113488
Idavang A.S.,DK0030472618,https://www.finanzen.net/anleihen/a284ns-idavang-as-anleihe,0.01,11.148,4,Dänemark,11-11-2025,70,Frankfurt,11-02-2024,0.007134,0.156266
Codere Finance 2 (Luxembourg) S.A.,XS2209052419,https://www.finanzen.net/anleihen/a282q6-codere-finance-2-luxembourg-anleihe,1000,11,2,Luxemburg,30-09-2026,51.68,Frankfurt,30-08-2023,579.786301,0.189725
IuteCredit Finance S.à.r.l.,XS2378483494,https://www.finanzen.net/anleihen/a3kt6m-iutecredit-finance-sarl-anleihe,100,11,2,Luxemburg,06-10-2026,91.01,Stuttgart,06-09-2023,97.097671,0.113288
PlusPlus Capital Financial S.à r.l.,XS2502401552,https://www.finanzen.net/anleihen/a3k7ud-plusplus-capital-financial-sa-rl-anleihe,1000,11,2,Luxemburg,29-07-2026,15,Stuttgart,29-01-2024,167.178082,0.657981
EG Global Finance PLC,XS2719998952,https://www.finanzen.net/anleihen/a3lq7v-eg-global-finance-anleihe,1000,11,2,GB,30-11-2028,104.95,Berlin,30-10-2023,1094.102740,0.100539
Solocal Group,FR0013237484,https://www.finanzen.net/anleihen/a19e25-solocal-group-anleihe,1,10.925,4,Frankreich,15-03-2025,72,Frankfurt,15-03-2024,0.723292,0.151045
B2 Impact ASA,NO0012704107,https://www.finanzen.net/anleihen/a3k9us-b2-impact-asa-anleihe,1000,10.822,4,Norwegen,22-09-2026,104.5,Frankfurt,22-03-2024,1046.185973,0.103442
Fiven AS,SE0016075196,https://www.finanzen.net/anleihen/a3ksr9-fiven-as-anleihe,1000,10.784,4,Norwegen,21-06-2024,100.25,Frankfurt,21-03-2024,1003.977260,0.107413
European Energy A.S.,DK0030521927,https://www.finanzen.net/anleihen/a3ldf8-european-energy-as-anleihe,1000,10.75,1,Dänemark,-,103.9,Frankfurt,26-12-2023,1065.801370,0.100863
Advanzia Bank S.A.,NO0013162743,https://www.finanzen.net/anleihen/a3luu9-advanzia-bank-anleihe,1000,10.702,4,Luxemburg,28-02-2034,100,Berlin,28-02-2024,1007.916548,0.106179
Schletter International B.V.,NO0012530973,https://www.finanzen.net/anleihen/a3k86f-schletter-international-bv-anleihe,1000,10.69,4,Niederlande,12-09-2025,103,Frankfurt,12-03-2024,1034.100274,0.103375
Azerion Group N.V.,NO0013017657,https://www.finanzen.net/anleihen/a3lnlx-azerion-group-anleihe,1000,10.643,4,Niederlande,02-10-2026,97.72,Stuttgart,02-01-2024,1001.693479,0.106250
Eroski Sociedad Cooperativa,XS2711320775,https://www.finanzen.net/anleihen/a3lrlf-eroski-sociedad-cooperativa-anleihe,1000,10.625,2,Spanien,30-04-2029,106.31,Hannover,30-10-2023,1106.182192,0.096051
Eroski Sociedad Cooperativa,XS2711321070,https://www.finanzen.net/anleihen/a3lswz-eroski-sociedad-cooperativa-anleihe,1000,10.625,2,Spanien,30-04-2029,106.16,Berlin,30-10-2023,1104.682192,0.096182
iQera Group SAS,XS2580885908,https://www.finanzen.net/anleihen/a3ldpn-iqera-group-sas-anleihe,1000,10.502,4,Frankreich,15-02-2027,84.78,Berlin,15-02-2024,859.309041,0.122214
Gröner Group AG,DE000A3E5TZ3,https://www.finanzen.net/anleihen/a3e5tz-groener-group-anleihe,10000,10.5,2,Deutschland,15-12-2024,100,Frankfurt,15-11-2023,10379.726027,0.101159
Hertha BSC GmbH & Co. KGaA,SE0011337054,https://www.finanzen.net/anleihen/a2nbk3-hertha-bscaa-anleihe,1000,10.5,4,Deutschland,08-11-2025,92.01,Stuttgart,08-02-2024,933.620548,0.112465
Banca Monte dei Paschi di Siena S.p.A.,XS2031926731,https://www.finanzen.net/anleihen/a2r5jw-banca-monte-dei-paschi-di-siena-spa-anleihe,1000,10.5,1,Italien,23-07-2029,117.17,Quotrix,23-06-2023,1251.384932,0.083907
ams-OSRAM AG,XS2724532333,https://www.finanzen.net/anleihen/a3lrmp-ams-osram-anleihe,1000,10.5,2,Österreich,30-03-2029,96.32,Quotrix,30-08-2023,1023.323288,0.102607
ams-OSRAM AG,XS2724532416,https://www.finanzen.net/anleihen/a3lrmq-ams-osram-anleihe,1000,10.5,2,Österreich,30-03-2029,98.95,Frankfurt,30-08-2023,1049.623288,0.100036
Solis Bond Company DAC,NO0010914914,https://www.finanzen.net/anleihen/a286xm-solis-bond-company-dac-anleihe,1000,10.422,4,Irland,30-04-2024,80,Frankfurt,06-01-2024,822.842740,0.126658
Cirsa Finance International S.à.r.l.,XS2550380104,https://www.finanzen.net/anleihen/a3lazt-cirsa-finance-international-sarl-anleihe,1000,10.375,2,Luxemburg,30-11-2027,103.99,Tradegate,15-03-2024,1043.026712,0.099470
R-Logitech S.A.M.,DE000A19WVN8,https://www.finanzen.net/anleihen/a19wvn-r-logitechm-anleihe,1000,10.25,1,Monaco,24-06-2024,22.1,Frankfurt,01-03-2023,330.801370,0.309854
R-Logitech S.A.M.,DE000A3LJCA6,https://www.finanzen.net/anleihen/a3ljca-r-logitechm-anleihe,1085,10.25,1,Monaco,24-06-2024,11.6,Baader Bank,01-03-2023,244.994486,0.453939
Hellenic Bank Public Company Ltd,XS2597995112,https://www.finanzen.net/anleihen/a3lff9-hellenic-bank-public-company-ltd-anleihe,1000,10.25,1,Zypern,14-06-2033,113.43,München,14-05-2023,1223.320548,0.083788
Green Bidco S.A.,XS2647351142,https://www.finanzen.net/anleihen/a3lk3a-green-bidco-anleihe,1000,10.25,2,Spanien,15-07-2028,90.14,Stuttgart,15-01-2024,921.338356,0.111251
immigon portfolioabbau ag,XS0359924643,https://www.finanzen.net/anleihen/a0tuqg-immigon-portfolioabbau-ag-anleihe,1000,10.188,2,Österreich,-,9.25,Frankfurt,18-11-2023,128.506904,0.792798
momox Holding AG,NO0010886369,https://www.finanzen.net/anleihen/a289qc-momox-holding-anleihe,1000,10.175,4,Deutschland,10-07-2025,42.28,Baader Bank,12-01-2024,443.428767,0.229462
Garfunkelux Holdco 3 S.A.,XS2250154494,https://www.finanzen.net/anleihen/a284k6-garfunkelux-holdco-3-anleihe,1000,10.147,4,Luxemburg,01-05-2026,69.7,Stuttgart,01-02-2024,712.012000,0.142512
EPH Group AG,DE000A3LJCB4,https://www.finanzen.net/anleihen/a3ljcb-eph-group-anleihe,1000,10,12,Österreich,17-07-2030,94,Frankfurt,02-03-2024,946.575342,0.105644
Dover Harcourt PLC,GB00BM94NS57,https://www.finanzen.net/anleihen/a28y6n-dover-harcourt-anleihe,1,10,2,GB,01-10-2025,99.58,Frankfurt,01-01-2024,1.019088,0.098127
Bank of Valletta PLC,XS2539425095,https://www.finanzen.net/anleihen/a3lbzg-bank-of-valletta-anleihe,1000,10,1,Malta,06-12-2027,5.955,Tradegate,06-11-2023,98.180137,1.018536
Eurobank Ergasias Services and Holdings S.A.,XS2562543442,https://www.finanzen.net/anleihen/a3lb2u-eurobank-ergasias-services-and-holdings-anleihe,1000,10,1,Griechenland,06-12-2032,113.4,Berlin,06-11-2023,1172.630137,0.085278
Summer BidCo B.V.,XS2758100296,https://www.finanzen.net/anleihen/a3lt4g-summer-bidco-bv-anleihe,1,10,2,Niederlande,15-02-2029,99.88,Quotrix,15-10-2023,1.043458,0.095835
PrestigeBidCo GmbH,XS2499278724,https://www.finanzen.net/anleihen/a30vmc-prestigebidco-anleihe,1000,9.942,4,Deutschland,15-07-2027,93.42,Tradegate,15-01-2024,953.539233,0.104264
Global Agrajes S.L.,NO0010912801,https://www.finanzen.net/anleihen/a286nv-global-agrajes-sl-anleihe,1000,9.922,4,Spanien,22-12-2025,98.81,München,22-03-2024,989.187342,0.100305
Bank Millennium S.A.,XS2684974046,https://www.finanzen.net/anleihen/a3lnff-bank-millennium-anleihe,1000,9.875,1,Polen,18-09-2027,106.19,Lang & Schwarz,18-08-2023,1121.691096,0.088037
Piraeus Financial Holdings S.A.,XS2018638648,https://www.finanzen.net/anleihen/a2r378-piraeus-financial-holdings-anleihe,1000,9.75,1,Griechenland,26-06-2029,97.03,Tradegate,26-05-2023,1051.772603,0.092701
Stonegate Pub Company Financing 2019 PLC,XS2210013970,https://www.finanzen.net/anleihen/a280pq-stonegate-pub-company-financing-2019-anleihe,1000,9.651,4,GB,31-07-2025,92.51,Tradegate,16-02-2024,935.412027,0.103174
HSE Finance S.a r.l,XS2337308741,https://www.finanzen.net/anleihen/a3kqfw-hse-finance-sa-rl-anleihe,1000,9.651,4,Luxemburg,15-10-2026,60.9,Tradegate,15-02-2024,619.576438,0.155768
Olympus Water US Holding Corp.,XS2628988730,https://www.finanzen.net/anleihen/a3ljem-olympus-water-us-holding-anleihe,1000,9.625,2,USA,15-11-2028,99.5,ZKB,01-09-2023,1049.585616,0.091703
Olympus Water US Holding Corp.,XS2628989894,https://www.finanzen.net/anleihen/a3lkbm-olympus-water-us-holding-anleihe,1000,9.625,2,USA,15-11-2028,99.5,ZKB,01-09-2023,1049.585616,0.091703
ESPG AG,DE000A2NBY22,https://www.finanzen.net/anleihen/a2nby2-espg-anleihe,1000,9.5,1,Deutschland,01-10-2026,48.5,Stuttgart,01-09-2023,538.876712,0.176293
ESPG AG,DE000A351VD7,https://www.finanzen.net/anleihen/a351vd-espg-anleihe,1000,9.5,1,Deutschland,07-07-2026,101,Baader Bank,07-06-2023,1086.260274,0.087456
Neue ZWL Zahnradwerk Leipzig GmbH,DE000A351XF8,https://www.finanzen.net/anleihen/a351xf-neue-zwl-zahnradwerk-leipzig-anleihe,1000,9.5,1,Deutschland,15-11-2028,99.49,Stuttgart,15-10-2023,1037.324658,0.091582
Banco BPM S.p.A.,IT0005571309,https://www.finanzen.net/anleihen/a3lrm0-banco-bpm-spa-anleihe,1000,9.5,2,Italien,-,108.83,Quotrix,24-10-2023,1128.382192,0.084191
IDFinance Spain S.A.U.,XS2231806394,https://www.finanzen.net/anleihen/a2823x-idfinance-spain-anleihe,1000,9.5,4,Spanien,25-09-2025,96,Frankfurt,25-03-2024,960.260274,0.098932
Eleving Group,XS2393240887,https://www.finanzen.net/anleihen/a3kxk8-eleving-group-anleihe,1000,9.5,2,Luxemburg,18-10-2026,87.95,Quotrix,18-09-2023,928.952055,0.102266
Adler Pelzer Holding GmbH,XS2623604233,https://www.finanzen.net/anleihen/a351ub-adler-pelzer-holding-anleihe,1000,9.5,2,Deutschland,01-04-2027,96.48,Tradegate,01-09-2023,1018.676712,0.093258
SCIL IV LLC,XS2644942737,https://www.finanzen.net/anleihen/a3lkql-scil-iv-llc-anleihe,1000,9.5,2,USA,15-07-2028,108.32,Stuttgart,15-01-2024,1101.679452,0.086232
888 Acquisitions Ltd.,XS2498546204,https://www.finanzen.net/anleihen/a3k7hm-888-acquisitions-anleihe,1000,9.432,4,Gibraltar,17-07-2028,97.66,Frankfurt,17-01-2024,994.430356,0.094848
TVL Finance PLC,XS2615792947,https://www.finanzen.net/anleihen/a3lgy7-tvl-finance-anleihe,1000,9.425,4,Jersey,28-04-2028,100.2,Quotrix,28-01-2024,1016.976712,0.092677
Iceland Bondco PLC,XS2660425401,https://www.finanzen.net/anleihen/a3lln1-iceland-bondco-anleihe,1000,9.401,4,GB,15-12-2027,100.05,Quotrix,15-02-2024,1010.802466,0.093005
Benteler International AG,XS2619047728,https://www.finanzen.net/anleihen/a3lhec-benteler-international-anleihe,1000,9.375,2,Österreich,15-05-2028,99.75,ZKB,15-10-2023,1039.366438,0.090199
HT Troplast GmbH,XS2649707846,https://www.finanzen.net/anleihen/a3510e-ht-troplast-anleihe,1000,9.375,2,Deutschland,15-07-2028,104.49,München,15-01-2024,1063.136301,0.088182
HT Troplast GmbH,XS2649707929,https://www.finanzen.net/anleihen/a3510x-ht-troplast-anleihe,1000,9.375,2,Deutschland,15-07-2028,104.54,Frankfurt,15-01-2024,1063.636301,0.088141
Axactor ASA,NO0011093718,https://www.finanzen.net/anleihen/a3kvy6-axactor-asa-anleihe,10000,9.29,4,Norwegen,15-09-2026,97.61,Frankfurt,15-03-2024,9788.997260,0.094902
Stern Immobilien AG,DE000A2G8WJ4,https://www.finanzen.net/anleihen/a2g8wj-stern-immobilien-anleihe,1000,9.25,1,Deutschland,01-01-2025,68,Frankfurt,24-04-2023,765.404110,0.120851
paragon GmbH & Co. KGaA,DE000A2GSB86,https://www.finanzen.net/anleihen/a2gsb8-paragonaa-anleihe,1000,9.25,2,Deutschland,05-07-2027,42.55,Baader Bank,05-01-2024,446.027397,0.207386
Summer [BC] Holdco A S.a.r.l.,XS2067265392,https://www.finanzen.net/anleihen/a2r9n4-summer-bc-holdco-a-sarl-anleihe,1000,9.25,2,Luxemburg,31-10-2027,96.83,Quotrix,30-09-2023,1013.409589,0.091276
